FID,OBJECTID,osm_id,code,fclass,name,Shape_Leng,AREA,Shape__Area,Shape__Length
164,2125,154547578,8201,reservoir, ,3560.798402,3560.798402,3.31E-06,0.010158906
165,2128,154557715,8200,water, ,3741.347674,3741.347674,2.50E-06,0.011905657
166,2131,155917972,8202,river, ,17334.08911,17334.08911,1.60E-05,0.057602349
167,2132,155917975,8202,river, ,37337.94738,37337.94738,2.85E-05,0.124515642
168,2133,156070360,8202,river, ,45694.51966,45694.51966,2.99E-05,0.141635684
169,2134,156268979,8202,river, ,54790.76716,54790.76716,2.78E-05,0.173526954
170,2135,156269330,8202,river, ,60167.18377,60167.18377,2.84E-05,0.19551439
171,2136,156415443,8202,river, ,65365.63257,65365.63257,3.68E-05,0.201027041
172,2137,156742366,8202,river, ,67959.45504,67959.45504,5.09E-05,0.212369731
173,2142,157479601,8200,water, ,14140.41559,14140.41559,9.77E-06,0.045528638
174,2143,157479603,8200,water, ,4144.20977,4144.20977,1.83E-06,0.012627723
175,2146,157480093,8200,water, ,21068.30812,21068.30812,1.45E-05,0.065353861
176,2148,157480217,8200,water, ,5331.781622,5331.781622,2.78E-06,0.018208752
177,2151,157480616,8200,water, ,6297.68597,6297.68597,6.32E-06,0.019680603
178,2167,158593546,8200,water, ,3685.161308,3685.161308,1.90E-06,0.011711012
179,2181,162244430,8200,water, ,5665.474075,5665.474075,1.07E-05,0.018574854
180,2182,162244434,8200,water, ,3569.313088,3569.313088,7.23E-06,0.011581372
181,2183,162320576,8200,water, ,5847.700852,5847.700852,7.96E-06,0.019341618
182,2184,162320577,8200,water, ,6832.594015,6832.594015,1.84E-05,0.022523738
183,2197,166552449,8200,water,Brevator Lake,4672.61509,4672.61509,1.10E-05,0.014678893
184,2202,166606327,8201,reservoir, ,15368.95087,15368.95087,5.20E-05,0.045555733
185,2206,170487503,8202,river, ,46187.69289,46187.69289,3.27E-05,0.14658027
186,2208,2273493,8202,river,Meramec River,75112.84452,75112.84452,5.15E-05,0.231463905
187,2219,1717075,8200,water, ,4246.75348,4246.75348,1.54E-06,0.013146538
188,2222,179374246,8200,water, ,8668.41747,8668.41747,1.25E-05,0.027558849
