FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
132,BRIDGEWAY PARK,11.38,COPAR,aka APPLE TREE PARK,City,Public,4.77E-06,0.009177306
133,KINLOCH COUNTY PARK,8.84,COPAR, ,County,Public,3.71E-06,0.010084777
134,LIONS PARK,11.1,COPAR,3ok,City,Public,4.65E-06,0.010685392
135,ST. CYR PARK,5.78,COPAR, ,City,Public,2.42E-06,0.008585392
136,JANE PARK,15.6,COPAR,aka WOODSON TERRACE,City,Public,6.54E-06,0.0111816
137,NORMANDY PARK,5.87,COPAR,RM,City,Public,2.46E-06,0.009623141
138,EVANS LANE PARK,5.01,COPAR,RM,City,Public,2.10E-06,0.006176694
139,MATTHEWS PARK,5.32,COPAR,NoWebA2,City,Public,2.23E-06,0.00635258
140,RAMONA LAKE PARK,11.48,COPAR,OK-$fishing,City,Public,4.81E-06,0.012132609
141,TIGHE PARK,9.76,COPAR,OK,City,Public,4.09E-06,0.008268845
142,LAKE ARROWHEAD PARK,12.41,COPAR,aka GUTKNECHT PARK,City,Public,5.20E-06,0.014136864
143,WILD ACRES PARK,25.44,COPAR,ok,City,Public,1.07E-05,0.014783539
144,NORMAN MYERS PARK,7.12,COPAR, ,City,Public,2.98E-06,0.007383732
145,VINITA PARK,10,COPAR, ,City,Public,4.19E-06,0.009488284
146,CASTLE PARK,5.35,COPAR, ,City,Public,2.24E-06,0.010881705
147,INDIAN MEADOWS PARK,14.71,COPAR,OK,City,Public,6.16E-06,0.031021865
148,WOODSON PARK,7.01,COPAR,OK,City,Public,2.94E-06,0.00976354
149,FAUST COUNTY PARK,189.67,COPAR,OK?,County,Public,7.94E-05,0.036673283
150,VILLA PARK,5.03,COPAR,RM,City,Public,2.11E-06,0.005934494
151,LAKE SCHOOL PARK,10.03,COPAR,plusOK,City,Public,4.20E-06,0.014647556
152,KAUFMAN PARK,7.85,COPAR,RM,City,Public,3.29E-06,0.00860758
153,BEIRNE PARK,10.06,COPAR,plusOK,City,Public,4.21E-06,0.009361698
154,MOONEY PARK,5.58,COPAR,OK,City,Public,2.34E-06,0.007324792
155,FLYNN PARK,6.66,COPAR,OK,City,Public,2.79E-06,0.009760765
156,CONWAY PARK,30.64,COPAR,OK,City,Public,1.28E-05,0.020431134
157,EDGAR M. QUEENY COUNTY PARK,561.29,COPAR,OK,County,Public,0.000234855,0.073659754
158,TILLES COUNTY PARK,65.69,COPAR, ,County,Public,2.75E-05,0.021242535
159,MEMORIAL PARK,18.13,COPAR, ,City,Public,7.59E-06,0.02072281
160,BRENTWOOD PARK,11.49,COPAR,ok,City,Public,4.81E-06,0.011752738
161,DES PERES PARK,42.37,COPAR,ok,City,Public,1.77E-05,0.022121716
162,IVORY CROCKETT PARK,5.94,COPAR,ok,City,Public,2.48E-06,0.007219252
163,MOCKINGBIRD PARK,5.18,COPAR,OKwebMap,City,Public,2.17E-06,0.00797538
164,CARDINAL PARK,6.38,COPAR,OKwebMap,City,Public,2.67E-06,0.009700237
165,PAUL  A. SCHROEDER PARK,46.27,COPAR,ok-web,City,Public,1.94E-05,0.020167267
166,BLACKBURN PARK,36.22,COPAR,Webster Groves,City,Public,1.51E-05,0.017780249
167,NEW BALLWIN PARK,7.03,COPAR,OK,City,Public,2.94E-06,0.007066515
168,MEMORIAL PARK,19.46,COPAR,MINUS,City,Public,8.14E-06,0.012687772
169,FERRIS PARK,8.87,COPAR,OK,City,Public,3.71E-06,0.01312304
170,OHLENDORF COUNTY PARK WEST,45.75,COPAR,ok,County,Public,1.91E-05,0.017632331
171,MATHILDA-WELMERING COUNTY PARK,5.91,COPAR, ,County,Public,2.47E-06,0.00827922
172,LAUMEIER COUNTY PARK,74,COPAR,MINUS,County,Public,3.09E-05,0.030254898
173,CRESTWOOD PARK,19.78,COPAR, ,City,Public,8.27E-06,0.015090437
174,POSSUM WOODS CA,15.62,COPAR,okWEBa2,MoDNR,Public,6.53E-06,0.012867517
175,HEINE MEINE FIELD,10.36,COPAR,LemayBaseballAssoc.,Private,Public,4.33E-06,0.010260342
176,OHLENDORF COUNTY PARK,10.4,COPAR, ,County,Public,4.35E-06,0.011681968
177,CLYDESDALE COUNTY PARK,116.14,COPAR, ,County,Public,4.85E-05,0.032059076
178,KIWANIS CAMP WYMAN,70.83,COPAR,ok,Private,Private,2.96E-05,0.025515822
179,ANTIRE VALLEY COUNTY MINI-BIKE PARK,68.58,COPAR,RMok,County,Public,2.87E-05,0.027470949
180,ST. LOUIS CO. COMMUNITY CENTER,5.34,COPAR,"FCed(a.k.a.""R-9"")",County,Public,2.23E-06,0.007501893
181,DREWEL PARK,14.82,COPAR,RMok,City,Public,6.19E-06,0.015012943
182,CLASSE COUNTY PARK,7.86,COPAR, ,County,Public,3.28E-06,0.011599474
